NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Abate|Temephos|2016-02-18|3383-96-8||DS.1c.3, DS.1o.4|Réglementation|||
Abiétate de sodium|Sodium abietate|2014-11-14|14351-66-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Accélérine|N,N-Dimethyl-p-nitrosoaniline|2016-07-21|138-89-6|UN1369|DP.11.1, DP.17.99, DS.4c.1, DP.7.99|Réglementation||Ce produit appartient à la classe de danger "Poussières combustibles" si au moins 5% du poids est constitué de particules d'une taille < 500 µm.|
Acénaphtène|Acenaphthene|2015-09-03|83-32-9||Produit non contrôlé|Non requise|||
Acenaphthènequinone|Acenaphthoquinone|2014-11-14|82-86-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acenaphtylène|Acenaphthylene|2014-11-14|208-96-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétaldéhyde|Acetaldehyde|2015-03-10|75-07-0|UN1089|DP.6.1, DS.1o.4, DS.3.2, DS.4c.1B, DS.6.1B, DS.8i.3|Réglementation|||
Acétamide|Acetamide|2016-08-24|60-35-5||DP.17.99, DS.6.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétaminophène|Acetaminophen|2016-07-04|103-90-2||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétanilide|Acetanilide|2016-06-30|103-84-4||DP.17.99, DS.1o.4|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétate cobalteux|Cobaltous acetate|2014-11-14|71-48-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.4r.1, DS.6.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate cobalteux tétrahydraté|Cobalt diacetate tetrahydrate|2014-11-14|6147-53-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.4r.1, DS.6.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate cobaltique|Cobaltic acetate|2014-11-14|917-69-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.4r.1, DS.6.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate d'alcool furfurylique|Furfuryl alcohol acetate|2014-11-14|623-17-6||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate d'alkyle en C6-C8 ramifié|Acetic acid, C6-C8 branched alkyl esters|2014-11-14|90438-79-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate d'allyle|Allyl acetate|2014-11-14|591-87-7|UN2333|DP.6.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate d'aluminium|Aluminum acetate|2015-12-03|139-12-8||Produit non contrôlé|Non requise|||
